     <strong>C_y</strong>     <strong>Mu_Structure_1</strong>    <strong>Mu_Structure_2</strong>
    <strong>_____</strong>    <strong>______________</strong>    <strong>______________</strong>

     0.03        40.742            7.8339    
    0.035        33.101            6.1954    
     0.04        27.332            5.6022    
    0.045        23.341            5.2196    
     0.05        20.832             4.865    
    0.055         19.11            4.6259    
     0.06        17.714            4.3252    
    0.065        16.708            4.0262    
     0.07        15.619            3.7429    
    0.075        14.576            3.5352    
     0.08        13.712             3.383    
    0.085        12.846            3.2719    
     0.09        12.068            3.2205    
    0.095        11.373            3.1247    
      0.1        10.681            3.0369    
    0.105        10.031            2.9616    
     0.11         9.422            2.8868    
    0.115        8.8089            2.8108    
     0.12        8.1772            2.7363    
    0.125        7.6399            2.6657    
     0.13        7.1338            2.5937    
    0.135        6.6273             2.524    
     0.14        6.1598            2.4568    
    0.145        5.5732            2.3884    
     0.15        5.0621            2.3229    
    0.155        4.5715            2.2619    
     0.16        4.1374            2.2005    
    0.165        3.7318            2.1461    
     0.17        3.3706            2.0937    
    0.175        3.1367            2.0443    
     0.18        3.1015            2.0089    
    0.185        2.9768            1.9769    
     0.19        2.8722            1.9486    
    0.195        2.7814            1.9225    
      0.2        2.7019            1.8695    
    0.205        2.6636            1.7939    
     0.21        2.6448            1.7244    
    0.215        2.6017            1.6613    
     0.22        2.5811             1.607    
    0.225        2.5669            1.5609    
     0.23        2.5472            1.5178    
    0.235        2.5284            1.4775    
     0.24        2.5118            1.4391    
    0.245        2.4965             1.403    
     0.25        2.4806            1.3687    
    0.255        2.4538            1.3366    
     0.26        2.4365            1.3061    
    0.265        2.4208             1.277    
     0.27        2.4063            1.2493    
    0.275         2.392            1.2233    
     0.28        2.3799            1.1986    
    0.285        2.3638             1.175    
     0.29        2.3426            1.1524    
    0.295        2.3235             1.131    
      0.3        2.3052            1.1106    
    0.305        2.2761            1.0911    
     0.31        2.2566            1.0724    
    0.315        2.2288            1.0546    
     0.32        2.2129            1.0375    
    0.325        2.1993            1.0212    
     0.33        2.1834            1.0293    
    0.335        2.1694            1.0233    
     0.34        2.1558            1.0081    
    0.345        2.1439           0.99348    
     0.35        2.1315           0.97928    
    0.355        2.1195           0.96549    
     0.36        2.1079           0.95208    
    0.365        2.0978           0.93904    
     0.37        2.0871           0.92635    
    0.375        2.0768             0.914    
     0.38        2.0542           0.90197    
    0.385        2.0439           0.89026    
     0.39        2.0342           0.87884    
    0.395         2.024           0.86772    
      0.4        2.0145           0.85687    
    0.405        2.0053           0.84629    
     0.41        1.9963           0.83597    
    0.415        1.9623            0.8259    
     0.42        1.9244           0.81607    
    0.425         1.888           0.80647    
     0.43        1.8524           0.79709    
    0.435        1.8184           0.78793    
     0.44        1.7857           0.77898    
    0.445        1.7537           0.77022    
     0.45        1.7228           0.76167    
    0.455        1.6902            0.7533    
     0.46        1.6626           0.74511    
    0.465        1.6355            0.7371    
     0.47        1.6098           0.72925    
    0.475        1.5849           0.72158    
     0.48        1.5605           0.71406    
    0.485        1.5366            0.7067    
     0.49        1.5113           0.69949    
    0.495        1.4901           0.69242    
      0.5        1.4694            0.6855    
    0.505        1.4491           0.67871    
     0.51        1.4291           0.67206    
    0.515          1.41           0.66553    
     0.52        1.3916           0.65913    
    0.525        1.3722           0.65286    
     0.53        1.3552            0.6467    
    0.535        1.3385           0.64065    
     0.54        1.3221           0.63472    
    0.545        1.3063            0.6289    
     0.55        1.2911           0.62318    
    0.555        1.2752           0.61757    
     0.56        1.2612           0.61205    
    0.565        1.2473           0.60664    
     0.57        1.2338           0.60131    
    0.575        1.2204           0.59609    
     0.58        1.2063           0.59095    
    0.585        1.1942            0.5859    
     0.59        1.1825           0.58093    
    0.595        1.1709           0.57605    
      0.6        1.1595           0.57125    
    0.605        1.1477           0.56653    
     0.61        1.1371           0.56188    
    0.615        1.1266           0.55732    
     0.62        1.1164           0.55282    
    0.625        1.1057            0.5484    
     0.63        1.0961           0.54405    
    0.635        1.0866           0.53976    
     0.64        1.0772           0.53555    
    0.645        1.0678           0.53139    
     0.65        1.0592           0.52731    
    0.655        1.0508           0.52328    
     0.66        1.0423           0.51932    
    0.665        1.0342           0.51541    
     0.67        1.0263           0.51157    
    0.675        1.0185           0.50778    
     0.68        1.0109           0.50404    
    0.685        1.0035           0.50036    

